Train ID	Date	Number of Tickets Sold	Station ID(Departure)
TRN400	10/20/2022	1915	S200
TRN500	10/19/2022	1852	S300
TRN500	10/19/2022	1375	S300
TRN100	10/17/2022	1230	S400
TRN100	10/15/2022	1398	S400
TRN200	10/15/2022	1141	S100
TRN200	10/14/2022	1195	S100
TRN300	10/14/2022	1559	S200
TRN300	10/13/2022	1245	S200
TRN400	10/13/2022	1982	S300
TRN400	10/13/2022	1661	S300
TRN500	10/13/2022	1996	S400
TRN500	10/10/2022	1660	S400
TRN100	10/09/2022	1596	S100
TRN100	10/07/2022	1557	S100
TRN200	10/04/2022	1738	S200
TRN200	10/03/2022	1687	S200
TRN300	10/02/2022	1489	S300
TRN300	10/02/2022	1362	S300
TRN400	10/01/2022	1102	S400
TRN400	10/01/2022	1517	S400
TRN500	09/30/2022	1102	S100
TRN500	09/28/2022	1903	S100
TRN100	09/26/2022	1076	S200
TRN100	09/25/2022	1341	S200
TRN200	09/25/2022	1461	S300
TRN200	09/25/2022	1295	S300
TRN300	09/24/2022	1379	S400
TRN300	09/24/2022	1244	S400
TRN400	09/23/2022	1479	S100
TRN400	09/22/2022	1903	S100
TRN500	09/22/2022	1030	S200
TRN500	09/21/2022	1837	S200
TRN100	09/21/2022	1714	S300
TRN100	09/20/2022	1174	S300
TRN200	09/19/2022	1627	S400
TRN200	09/18/2022	1214	S400
TRN300	09/16/2022	1474	S100
TRN300	09/14/2022	1460	S100
TRN400	09/13/2022	1128	S200
TRN400	09/13/2022	1543	S200
TRN500	09/12/2022	1279	S300
TRN500	09/12/2022	1334	S300
TRN100	09/12/2022	1564	S400
TRN100	09/11/2022	1101	S400
TRN200	09/10/2022	1035	S100
TRN200	09/10/2022	1726	S100
TRN300	09/10/2022	1220	S200
TRN300	09/10/2022	1901	S200
TRN400	09/10/2022	1988	S300
TRN400	09/09/2022	1253	S300
TRN500	09/07/2022	1963	S400
TRN500	09/07/2022	1039	S400
TRN100	09/06/2022	1557	S100
TRN100	09/05/2022	1537	S100
TRN200	09/05/2022	1055	S200
TRN200	09/05/2022	1140	S200
TRN300	09/04/2022	1546	S300
TRN300	09/03/2022	1185	S300
TRN400	09/03/2022	1002	S400
TRN400	09/02/2022	1538	S400
TRN500	09/02/2022	1495	S100
TRN500	09/02/2022	1657	S100
TRN100	09/01/2022	1691	S200
TRN100	09/01/2022	1458	S200
TRN200	08/31/2022	1136	S300
TRN200	08/31/2022	1543	S300
TRN300	08/29/2022	1905	S400
TRN300	08/29/2022	1207	S400
TRN400	08/26/2022	1256	S100
TRN400	08/26/2022	1079	S100
TRN500	08/26/2022	1938	S200
TRN500	08/25/2022	1216	S200
TRN100	08/24/2022	1417	S300
TRN100	08/23/2022	1411	S300
TRN200	08/22/2022	1402	S400
TRN200	08/21/2022	1475	S400
TRN300	08/21/2022	1593	S100
TRN300	08/21/2022	1950	S100
TRN400	08/20/2022	1367	S200
TRN400	08/19/2022	1307	S200
TRN500	08/19/2022	1969	S300
TRN500	08/17/2022	1541	S300
TRN100	08/16/2022	1797	S400
TRN100	08/16/2022	1986	S400
TRN200	08/14/2022	1844	S100
TRN200	08/13/2022	1535	S100
TRN300	08/13/2022	1027	S200
TRN300	08/12/2022	1675	S200
TRN400	08/11/2022	1389	S300
TRN400	08/11/2022	1553	S300
TRN500	08/10/2022	1288	S400
TRN500	08/09/2022	1566	S400
TRN100	08/08/2022	1568	S100
TRN100	08/08/2022	1359	S100
TRN200	08/07/2022	1717	S200
TRN200	08/06/2022	1894	S200
TRN300	08/04/2022	1330	S300
TRN300	08/04/2022	1253	S300
TRN400	08/03/2022	1793	S400
TRN400	08/02/2022	1470	S400
TRN500	08/02/2022	1229	S100
TRN500	08/01/2022	1940	S100
TRN100	08/01/2022	1301	S200
TRN100	07/31/2022	1460	S200
TRN200	07/31/2022	1858	S300
TRN200	07/30/2022	1585	S300
TRN300	07/29/2022	1232	S400
TRN300	07/28/2022	1144	S400
TRN400	07/27/2022	1728	S100
TRN400	07/26/2022	1920	S100
TRN500	07/25/2022	1150	S200
TRN500	07/25/2022	1854	S200
TRN100	07/25/2022	1046	S300
TRN100	07/25/2022	1411	S300
TRN200	07/24/2022	1671	S400
TRN200	07/24/2022	1020	S400
TRN300	07/23/2022	1453	S100
TRN300	07/23/2022	1404	S100
TRN400	07/22/2022	1369	S200
TRN400	07/17/2022	1177	S200
TRN500	07/15/2022	1952	S300
TRN500	07/14/2022	1419	S300
TRN100	07/14/2022	1951	S400
TRN100	07/13/2022	1795	S400
TRN200	07/13/2022	1148	S100
TRN200	07/12/2022	1538	S100
TRN300	07/11/2022	1441	S200
TRN300	07/09/2022	1614	S200
TRN400	07/07/2022	1264	S300
TRN400	07/06/2022	1384	S300
TRN500	07/06/2022	1479	S400
TRN500	07/05/2022	1696	S400
TRN100	07/05/2022	1518	S100
TRN100	07/05/2022	1986	S100
TRN200	07/02/2022	1337	S200
TRN200	07/02/2022	1709	S200
TRN300	07/01/2022	1669	S300
TRN300	07/01/2022	1804	S300
TRN400	06/30/2022	1130	S400
TRN400	06/30/2022	1589	S400
TRN500	06/28/2022	1069	S100
TRN500	06/27/2022	1272	S100
TRN100	06/26/2022	1379	S200
TRN100	06/24/2022	1581	S200
TRN200	06/24/2022	1734	S300
TRN200	06/24/2022	1382	S300
TRN300	06/23/2022	1489	S400
TRN300	06/23/2022	1916	S400
TRN400	06/23/2022	1963	S100
TRN400	06/23/2022	1180	S100
TRN500	06/22/2022	1285	S200
TRN500	06/20/2022	1789	S200
TRN100	06/20/2022	1879	S300
TRN100	06/19/2022	1261	S300
TRN200	06/19/2022	1989	S400
TRN200	06/19/2022	1040	S400
TRN300	06/18/2022	1115	S100
TRN300	06/18/2022	1143	S100
TRN400	06/18/2022	1228	S200
TRN400	06/17/2022	1365	S200
TRN500	06/17/2022	1558	S300
TRN500	06/17/2022	1695	S300
TRN100	06/16/2022	1738	S400
TRN100	06/16/2022	1317	S400
TRN200	06/15/2022	1358	S100
TRN200	06/14/2022	1304	S100
TRN300	06/14/2022	1629	S200
TRN300	06/14/2022	1542	S200
TRN400	06/13/2022	1646	S300
TRN400	06/13/2022	1343	S300
TRN500	06/13/2022	1140	S400
TRN500	06/12/2022	1741	S400
TRN100	06/11/2022	1294	S100
TRN100	06/10/2022	1727	S100
TRN200	06/08/2022	1637	S200
TRN200	06/06/2022	1793	S200
TRN300	06/06/2022	1130	S300
TRN300	06/05/2022	1514	S300
TRN400	06/05/2022	1712	S400
TRN400	06/02/2022	1738	S400
TRN500	05/31/2022	1429	S100
TRN500	05/29/2022	1646	S100
TRN100	05/29/2022	1694	S200
TRN100	05/28/2022	1771	S200
TRN200	05/28/2022	1362	S300
TRN200	05/27/2022	1388	S300
TRN300	05/27/2022	1692	S400
TRN300	05/27/2022	1822	S400
TRN400	05/25/2022	1100	S100
TRN400	05/24/2022	1692	S100
TRN500	05/24/2022	1258	S200
TRN500	05/23/2022	1533	S200
TRN100	05/22/2022	1908	S300
TRN100	05/22/2022	1975	S300
TRN200	05/22/2022	1779	S400
TRN200	05/21/2022	1823	S400
TRN300	05/21/2022	1770	S100
TRN300	05/21/2022	1519	S100
TRN400	05/21/2022	1678	S200
TRN400	05/19/2022	1872	S200
TRN500	05/18/2022	1578	S300
TRN500	05/17/2022	1786	S300
TRN100	05/17/2022	1493	S400
TRN100	05/16/2022	1138	S400
TRN200	05/16/2022	1517	S100
TRN200	05/16/2022	1324	S100
TRN300	05/15/2022	1689	S200
TRN300	05/15/2022	1014	S200
TRN400	05/14/2022	1839	S300
TRN400	05/14/2022	1294	S300
TRN500	05/13/2022	1312	S400
TRN500	05/13/2022	1038	S400
TRN100	05/12/2022	1529	S100
TRN100	05/12/2022	1491	S100
TRN200	05/11/2022	1292	S200
TRN200	05/11/2022	1553	S200
TRN300	05/11/2022	1172	S300
TRN300	05/10/2022	1191	S300
TRN400	05/10/2022	1321	S400
TRN400	05/09/2022	1169	S400
TRN500	05/09/2022	1997	S100
TRN500	05/08/2022	1053	S100
TRN100	05/08/2022	1041	S200
TRN100	05/08/2022	1624	S200
TRN200	05/07/2022	1452	S300
TRN200	05/07/2022	1635	S300
TRN300	05/04/2022	1387	S400
TRN300	05/03/2022	1938	S400
TRN400	04/30/2022	1903	S100
TRN400	04/29/2022	1470	S100
TRN500	04/28/2022	1390	S200
TRN500	04/28/2022	1864	S200
TRN100	04/19/2022	1475	S300
TRN100	04/19/2022	1456	S300
TRN200	04/19/2022	1738	S400
TRN200	04/19/2022	1831	S400
TRN300	04/18/2022	1092	S100
TRN300	04/18/2022	1153	S100
TRN400	04/17/2022	1767	S200
TRN400	04/16/2022	1825	S200
TRN500	04/16/2022	1052	S300
TRN500	04/15/2022	1096	S300
TRN100	04/14/2022	1110	S400
TRN100	04/14/2022	1670	S400
TRN200	04/13/2022	1853	S100
TRN200	04/11/2022	1439	S100
TRN300	04/11/2022	1058	S200
TRN300	04/10/2022	1873	S200
TRN400	04/10/2022	1057	S300
TRN400	04/09/2022	1289	S300
TRN500	04/09/2022	1459	S400
TRN500	04/08/2022	1576	S400
TRN100	04/08/2022	1701	S100
TRN100	04/08/2022	1436	S100
TRN200	04/07/2022	1001	S200
TRN200	04/07/2022	1885	S200
TRN300	04/07/2022	1920	S300
TRN300	04/07/2022	1700	S300
TRN400	04/05/2022	1545	S400
TRN400	04/05/2022	1796	S400
TRN500	04/05/2022	1933	S100
TRN500	04/05/2022	1301	S100
TRN100	04/04/2022	1415	S200
TRN100	04/03/2022	1657	S200
TRN200	04/02/2022	1012	S300
TRN200	03/31/2022	1528	S300
TRN300	03/30/2022	1739	S400
TRN300	03/29/2022	1797	S400
TRN400	03/29/2022	1465	S100
TRN400	03/29/2022	1356	S100
TRN500	03/29/2022	1213	S200
TRN500	03/28/2022	1390	S200
TRN100	03/27/2022	1058	S300
TRN100	03/26/2022	1176	S300
TRN200	03/26/2022	1567	S400
TRN200	03/25/2022	1473	S400
TRN300	03/25/2022	1605	S100
TRN300	03/24/2022	1986	S100
TRN400	03/23/2022	1684	S200
TRN400	03/23/2022	1003	S200
TRN500	03/23/2022	1176	S300
TRN500	03/22/2022	1079	S300
TRN100	03/22/2022	1973	S400
TRN100	03/20/2022	1065	S400
TRN200	03/17/2022	1784	S100
TRN200	03/17/2022	1338	S100
TRN300	03/16/2022	1633	S200
TRN300	03/14/2022	1112	S200
TRN400	03/13/2022	1698	S300
TRN400	03/12/2022	1312	S300
TRN500	03/11/2022	1499	S400
TRN500	03/11/2022	1313	S400
TRN100	03/10/2022	1446	S100
TRN100	03/10/2022	1191	S100
TRN200	03/10/2022	1850	S200
TRN200	03/08/2022	1383	S200
TRN300	03/07/2022	1428	S300
TRN300	03/07/2022	1730	S300
TRN400	03/07/2022	1502	S400
TRN400	03/06/2022	1628	S400
TRN500	03/06/2022	1492	S100
TRN500	03/03/2022	1561	S100
TRN100	03/03/2022	1700	S200
TRN100	03/03/2022	1586	S200
TRN200	03/03/2022	1714	S300
TRN200	03/02/2022	1805	S300
TRN300	03/01/2022	1021	S400
TRN300	03/01/2022	1812	S400
TRN400	02/28/2022	1293	S100
TRN400	02/28/2022	1203	S100
TRN500	02/27/2022	1509	S200
TRN500	02/25/2022	1619	S200
TRN100	02/24/2022	1692	S300
TRN100	02/24/2022	1649	S300
TRN200	02/24/2022	1360	S400
TRN200	02/24/2022	1551	S400
TRN300	02/22/2022	1643	S100
TRN300	02/22/2022	1497	S100
TRN400	02/18/2022	1966	S200
TRN400	02/17/2022	1487	S200
TRN500	02/17/2022	1932	S300
TRN500	02/13/2022	1753	S300
TRN100	02/13/2022	1736	S400
TRN100	02/12/2022	1295	S400
TRN200	02/10/2022	1324	S100
TRN200	02/10/2022	1320	S100
TRN300	02/09/2022	1393	S200
TRN300	02/09/2022	1797	S200
TRN400	02/07/2022	1417	S300
TRN400	02/06/2022	1245	S300
TRN500	02/06/2022	1864	S400
TRN500	02/04/2022	1272	S400
TRN100	02/04/2022	1764	S100
TRN100	02/04/2022	1149	S100
TRN200	02/03/2022	1946	S200
TRN200	02/02/2022	1158	S200
TRN300	02/02/2022	1183	S300
TRN300	01/31/2022	1566	S300
TRN400	01/31/2022	1505	S400
TRN400	01/31/2022	1605	S400
TRN500	01/31/2022	1373	S100
TRN500	01/30/2022	1276	S100
TRN100	01/30/2022	1005	S200
TRN100	01/30/2022	1101	S200
TRN200	01/30/2022	1691	S300
TRN200	01/30/2022	1397	S300
TRN300	01/29/2022	1788	S400
TRN300	01/29/2022	1104	S400
TRN400	01/27/2022	1479	S100
TRN400	01/27/2022	1773	S100
TRN500	01/24/2022	1052	S200
TRN500	01/24/2022	1312	S200
TRN100	01/24/2022	1118	S300
TRN100	01/23/2022	1775	S300
TRN200	01/22/2022	1207	S400
TRN200	01/22/2022	1573	S400
TRN300	01/22/2022	1152	S100
TRN300	01/20/2022	1240	S100
TRN400	01/20/2022	1745	S200
TRN400	01/19/2022	1332	S200
TRN500	01/18/2022	1076	S300
TRN500	01/18/2022	1198	S300
TRN100	01/18/2022	1608	S400
TRN100	01/17/2022	1084	S400
TRN200	01/17/2022	1681	S100
TRN200	01/15/2022	1087	S100
TRN300	01/15/2022	1178	S200
TRN300	01/15/2022	1579	S200
TRN400	01/15/2022	1009	S300
TRN400	01/14/2022	1016	S300
TRN500	01/14/2022	1824	S400
TRN500	01/14/2022	1397	S400
TRN100	01/13/2022	1282	S100
TRN100	01/12/2022	1781	S100
TRN200	01/12/2022	1625	S200
TRN200	01/11/2022	1754	S200
TRN300	01/09/2022	1746	S300
TRN300	01/09/2022	1412	S300
TRN400	01/09/2022	1188	S400
TRN400	01/08/2022	1306	S400
TRN500	01/08/2022	1090	S100
TRN500	01/08/2022	1690	S100
TRN100	01/06/2022	1087	S200
TRN100	01/06/2022	1119	S200
TRN200	01/03/2022	1525	S300
TRN200	01/03/2022	1558	S300
TRN300	01/03/2022	1571	S400
TRN300	01/03/2022	1122	S400
TRN400	01/02/2022	1909	S100
TRN400	01/02/2022	1194	S100
TRN500	01/02/2022	1943	S200
TRN500	01/01/2022	1568	S200
